Име,Област (етнографска/фолклорна),Регион,Размер,С удължен дял,Темпо,Тактове,Трудност,Къде го научих,Музика,Заснето,Урок,Хореограф
Невестино,,,,,,,,,,,,
Северняшко Севлиевско/Право Севлиевско/Севлиево,,,,,,,,,,,,
Чопраз/Чапраз,,,,,,,,,,https://www.youtube.com/watch?v=HZ-GVXQy-hI&ab_channel=%D0%90%D0%BD%D0%B8%D0%A1%D0%B8%D0%BC%D0%B8%D0%BE%D0%BD%D0%BE%D0%B2%D0%B0,,
Ломско дайчово,,,,,,,,,,https://www.youtube.com/watch?v=nUrya5W7b4M&ab_channel=%D0%90%D0%BD%D0%BD%D0%B0%D0%9A%D0%BE%D1%88%D0%BE%D0%B2%D1%81%D0%BA%D0%B0-%D0%A1%D0%B8%D0%B4%D0%BE%D1%80%D0%BA%D0%B8%D0%BD%D0%B0,,
Мъжка сборенка,,,,,,,,,,https://www.youtube.com/watch?v=q4-VU6gwJz0&ab_channel=sborisova04,,
Лявата,,,,,,,,,,https://www.youtube.com/watch?v=T7xRo-ASEvw&ab_channel=%D0%97%D0%BE%D1%80%D0%BD%D0%B8%D1%86%D0%B0%D0%92%D0%B5%D0%BD%D0%BA%D0%BE%D0%B2%D0%B0,,
Данец,,,,,,,,,,,,
Турско,,,,,,,,,,,,
Патруна аваси,,,,,,,,,,,https://www.youtube.com/watch?v=I6kNxLhcwVk&list=PLBzWamY_6YY3lqEYhn0FY3_4mkHWJTEWg&index=4&ab_channel=SvetoslavVelev,
Камишица,,,,,,,,,,,https://www.youtube.com/watch?v=I6kNxLhcwVk&list=PLBzWamY_6YY3lqEYhn0FY3_4mkHWJTEWg&index=4&ab_channel=SvetoslavVelev,
Ореховско,,,,,,,,,,https://www.youtube.com/watch?v=aDc1VY1tyVQ&ab_channel=Bulgariannationalfolkloremusic-%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B9%D0%94%D0%B8%D0%BC%D0%BE%D0%B2,https://www.youtube.com/watch?v=-qb4fZWsLm0&list=PLBzWamY_6YY3lqEYhn0FY3_4mkHWJTEWg&index=19&ab_channel=SvetoslavVelev,
Чукличина,,,,,,,,,,,https://www.youtube.com/watch?v=iF9iTWWx5o8&ab_channel=SvetoslavVelev,
Сигна,,,,,,,,,,,https://www.youtube.com/watch?v=0RVO6j2v2Cs&ab_channel=SvetoslavVelev,
Огражденско,,,,,,,,,,,https://www.youtube.com/watch?v=Ef2ygBagtfE&ab_channel=SvetoslavVelev,
Струга,,,,,,,,,,https://www.youtube.com/watch?v=eIuWZ-hhh8Y&ab_channel=vvv1111a,,
Хасапико,,,,,,,,,,,,
Данке,,,,,,,,,,,,
Крепката,,,,,,,,,,,,
Разложкото,,,,,,,,,,,,
Индийското,,,,,,,,,,,,
Банге бузни,,,,,,,,,,,,
Шумарското,,,,,,,,,,,,
Дана бели на реката,,,,,,,,,,,,
Ин мин маро мори,,,,,,,,,,,,
Варай Кальо,,,,,,,,,,,,
Петруно пиле,,,,,,,,,,,,
Свекърва Мара карала,,,,,,,,,,,,
Назлънкината,,,,,,,,,,,,
Пашовското,,,,,,,,,,,,
Ситната,,,,,,,,,,,,
Торлашка ръченица,,,,,,,,,,https://www.youtube.com/watch?v=2X7oub105FE&ab_channel=%D0%9A%D0%BB%D1%83%D0%B1%D0%BF%D0%BE%D0%B1%D1%8A%D0%BB%D0%B3%D0%B0%D1%80%D1%81%D0%BA%D0%B8%D0%BD%D0%B0%D1%80%D0%BE%D0%B4%D0%BD%D0%B8%D1%82%D0%B0%D0%BD%D1%86%D0%B8%22%D0%90%D1%80%D0%B0%D1%82%D0%BB%D0%B8%D0%B8%22,https://www.youtube.com/watch?v=JlT79hLHl0k&t=9s&ab_channel=%D0%A1%D1%82%D0%B0%D0%BD%D0%B8%D1%81%D0%BB%D0%B0%D0%B2%D0%B0%D0%98%D0%B2%D0%B0%D0%BD%D0%BE%D0%B2%D0%B0,
